Total: 208
23449 	 
26143 	 
28013 	 
30782 	 
34524 	 
40464 	 
41839 	 
43287 	 
49776 	 
51627 	 
55112 	 
72321 	 
77368 	 
78701 	 
84545 	 
85859 	 
87687 	 
88910 	 
89980 	 ..
90880 	 
92846 	 .
94544.5 	 .
97072 	 
98064 	 
98840 	 ...
100201 	 ...
102026.8 	 ....
103321 	 
104452.66666666667 	 ..
105285.33333333333 	 ..
106803.75 	 ...
108040.66666666667 	 ..
108962 	 ..
110510 	 .
111644.66666666667 	 ..
112791 	 ..
113890.8 	 ....
117270.66666666667 	 ..
119123.2 	 ....
120399 	 ..
121380.5 	 ...
122172 	 .
123207.66666666667 	 ..
125209.33333333333 	 ..
127103 	 .
127881.25 	 ...
129524.75 	 ...
130488.5 	 .
131330.5 	 .
132104.33333333334 	 ..
132973.33333333334 	 ..
133758.25 	 ...
134974 	 ...
135763 	 
137627.5 	 .
138769.5 	 ...
140216 	 ....
141113.25 	 ...
142537 	 .
144493.5 	 .
145692 	 ..
147161 	 .
149116 	 
149908 	 
151110.5 	 .
152570 	 ..
154211.66666666666 	 ..
155381 	 
157539 	 .
159155 	 
161180.5 	 .
162605 	 
165311 	 
166650 	 
168354 	 .
169235.5 	 .
171586 	 
172916.5 	 ...
173861 	 
175474.5 	 .
181621 	 ..
182866 	 
183774 	 
186240.5 	 ...
187768.6 	 ....
190860 	 .
192849 	 
201530 	 
203503 	 
205297 	 
214252 	 
216758 	 
329389 	 
348518 	 
351026 	 
384672 	 
421958 	 
533806 	 
932822 	 
1e+06 	 
