Total: 208
18796 	 
20905 	 
21990 	 
24755 	 
28892 	 
32724 	 
34291 	 
36020 	 
39792 	 
41611 	 
44151 	 
56458 	 
59223 	 
62756 	 
64590 	 
66069.66666666667 	 ..
69077 	 .
70079.5 	 .
71797 	 ..
73144.33333333333 	 ..
74629 	 
76158.66666666667 	 ..
76975 	 ..
78197 	 .
79295 	 
80080 	 
81211.5 	 ...
82447 	 ..
83237 	 
84073 	 
84740.8 	 ....
85616 	 
86857.5 	 .
88061.8 	 ....
89704.9 	 .........
91294.33333333333 	 ..
92818.6 	 ....
93544 	 
94369 	 
95558 	 
96716 	 
97906.66666666667 	 ..
99063.66666666667 	 ..
100211.33333333333 	 .....
101433 	 
102281 	 .......
103033 	 
104244.5 	 ...
106271.16666666667 	 .....
108443.57142857143 	 ......
110296 	 
112167 	 ...
112877 	 .
113683.33333333333 	 ..
114580 	 ..
115430 	 
117437.4 	 ....
118623.5 	 .
119465 	 ..
120666 	 ..
121836.33333333333 	 ..
122862 	 
123668 	 .
125871 	 .
127365 	 
129277 	 
129995 	 
131316 	 .
132078.66666666666 	 ..
132945 	 
136557.33333333334 	 ..
138385 	 .
140258 	 
140948.33333333334 	 ..
142561 	 
144870 	 
146615 	 
147797 	 .
148689 	 
151249 	 .
152558 	 .
154462.5 	 .
156700 	 
157567 	 
158479.5 	 .
160688.5 	 .
163977 	 
165625 	 .
169004 	 
169702 	 
171232 	 
173013 	 
174624 	 
184686 	 
289194 	 
290871 	 
394220 	 
481615 	 
898472 	 
1e+06 	 
