Total: 208
4653 	 
5238 	 
5632 	 
5819 	 
6025 	 .
7740 	 
8165 	 
8996 	 
10961 	 
11835 	 
13098 	 
13505 	 
14145.5 	 .
14390.333333333334 	 ..
14785 	 
15006 	 ..
15149 	 
15361 	 
15683 	 
16468 	 
16695.5 	 .
17175 	 
17331 	 
18405 	 
18682 	 
18904.333333333332 	 ..
19176 	 
19389 	 .
19634.666666666668 	 ..
19919.666666666668 	 ..
20089.25 	 ...
20310.333333333332 	 ..
20698.5 	 .
20910 	 
21086.375 	 .......
21446.2 	 ....
21686 	 .
21930 	 .
22105.333333333332 	 ..
22441 	 
22712 	 
23030 	 .
23395 	 
23551 	 ..
23952 	 
24155.5 	 .
24360.25 	 ...
24670.5 	 .
25046 	 ..
25312 	 ..
25453 	 
25589 	 .
25741 	 
25881.666666666668 	 ..
26146.833333333332 	 .....
26380 	 
26529 	 
26663.2 	 ....
27083 	 .
27247 	 
27406.666666666668 	 ..
27698.14285714286 	 ......
28478 	 .
28647.5 	 .
28895.833333333332 	 .....
29045.666666666668 	 ..
29244.666666666668 	 ..
29701 	 ..
29860.666666666668 	 ..
30224.5 	 ...
30494 	 
30634 	 .
30789.2 	 ....
30991.666666666668 	 ..
31253 	 
31409.25 	 ...
31661 	 .
31850.5 	 ...
32072 	 
32291.5 	 .
32546 	 
33354.5 	 .
33550 	 .
33931 	 .
34350 	 
34534.5 	 .
35103 	 
35716 	 
36034 	 
36495 	 
36706 	 .
37401 	 
40180 	 
41250.666666666664 	 ..
43268 	 
52191 	 
57647 	 
61832 	 
158157 	 
274376 	 
